id,category,country,created_at,description,location,manager_id,status,title,updated_at
...,CASTLES,Poland,"2026-09-25 00:42:24.903728","Welcome to The Palace at Osowa Sien—a stunning and exclusive retreat nestled in a 5-hectare park, just hours from Berlin or Warsaw.","Osowa Sień, Poland",...,PUBLISHED,"Exclusive Fairytale Castle: 3 Hrs from Berlin","2026-09-25 00:42:24.903728"
...,ARCTIC,Norway,"2026-09-25 00:42:24.910817","You will love this unique and romantic Lighthouse.We are located on Senja, Norway's second largest island, just bye the Galway to Ånderdalen national park.",Norway,...,PUBLISHED,"The Lighthouse","2026-09-25 00:42:24.910817"
...,TRENDING,India,"2026-09-25 00:42:24.921001","We offer two rooms at our homestay, purposefully built with naturally available resources, we also offer river side tents and camps.","Sangti, Arunachal Pradesh, India",...,PUBLISHED,"Tsejor Homestay, river side cabins and tents","2026-09-25 00:42:24.921001"
...,BEACH,India,"2026-09-25 00:42:24.927198","This property is exactly beach front cottage.located on pristine shores of malpe beach in udupi.","Puri, Odisha, India",...,PUBLISHED,"Home away from home (Premium) - VIP Road , Puri","2026-09-25 00:42:24.927198"
...,MOUNTAINS,Switzerland,"2026-09-25 00:42:24.940223","The compact 3.5-room apartment is located in a quiet residential area. It is five minutes by foot to center of Altdorf.","Altdorf, Switzerland",...,PUBLISHED,"Jori's Bijou in the heart of central Switzerland","2026-09-25 00:42:24.940223"
...,ICONIC_CITIES,France,"2026-09-25 00:42:24.953329","Room in Paris, France","Paris, France",...,PUBLISHED,"Suite with private bathroom and Eiffel Tower view","2026-09-25 00:42:24.953329"
...,ARCTIC,Finland,"2026-09-25 00:42:24.961156","Entire chalet in Kittilä, Finland","Kittilä, Finland",...,PUBLISHED,"Winter Wonderland","2026-09-25 00:42:24.961156"
...,FARMS,"South Africa","2026-09-25 00:42:24.969201","Barn in Durban, South Africa","Durban, South Africa",...,PUBLISHED,"The Stable House","2026-09-25 00:42:24.969201"
...,BOATS,Vietnam,"2026-09-25 00:42:24.974875","M'Gloria Cruise is a sustainable boat in Ha Long, offering free WiFi, rooftop pool and fitness centre.The boat features a spa experience, with its hot tub, spa facilities and wellness packages.","Hạ Long, Vietnam",...,PUBLISHED,"Junior Suite Twin Ocean View 1st Floor Balcony","2026-09-25 00:42:24.974875"
...,ARCTIC,Sweden,"2026-09-25 00:42:24.979877","Surrounded by the Forest, a wonderful Nature and in a relaxing Atmosphere ; you will appreciate in Winter the Magic of the Snowy Landscapes, the Comfort of your cabin and our suggestion of Activities.","Blattniksele , Sweden",...,PUBLISHED,"Fjälluggla Cottage - Cabin Fjälluggla","2026-09-25 00:42:24.979877"
...,DOMES,India,"2026-09-25 00:42:24.985949","The Yellow Dome Villa by Jade is a luxurious retreat that radiates elegance and charm.","Channaveeranahalli, Karnataka, India",...,PUBLISHED,"3BR Yellow Dome Shaped Villa with Pool & Hill View","2026-09-25 00:42:24.985949"
...,FARMS,India,"2026-09-25 00:42:24.990942","Sucasa is nestled amidst lush greenery, offering a serene retreat perfect for unwinding with family and friends, away from the city's hustle.","Raipur, Chhattisgarh, India",...,PUBLISHED,"Sucasa Farmstay in VIP/Airport road","2026-09-25 00:42:24.990942"
...,ROOMS,India,"2026-09-25 00:42:24.995467","Keep it simple at this peaceful and centrally-located place.","Hyderabad, Telangana, India",...,PUBLISHED,"Simple and cozy corner","2026-09-25 00:42:24.995467"
...,ROOMS,India,"2026-09-25 00:42:25.001465","Ever dreamt of a vacation in the midst of the nature’s lap, just to wake up in the morning, pull the curtains to be greeted with the view overlooking the entire Srinagar city and the magnificent Dal Lake?","Srinagar,Jammu and Kashmir, India",...,PUBLISHED,"The Greystone. 2 Cozy Attic Rooms with Fireplaces","2026-09-25 00:42:25.001465"
...,MOUNTAINS,India,"2026-09-25 00:42:25.007520","Escape to our serene villa near Nandi Hills, featuring a private swimming pool and stunning, unobstructed views of the hills, a lake, and nature.","Nandi Hills, Karnataka, India",...,PUBLISHED,"Rasa Pool Villa","2026-09-25 00:42:25.007520"
...,ARCTIC,Finland,"2026-09-25 00:42:25.013607","Green, beautiful Savola scenery by the lake. The heart of a house built in traditional style is the large logs that have been poured out of the local forest.","Kuopio, Finland",...,PUBLISHED,"B&B Marrula - Finland","2026-09-25 00:42:25.013607"
...,FARMS,India,"2026-09-25 00:42:25.018797","Nestled amidst dense greenery & the company of 4 Royal horses, this hidden gem is a pristine mix of luxury with astounding style & comfort.","New Delhi, India",...,PUBLISHED,"The Barn - Classic","2026-09-25 00:42:25.018797"
...,ARCTIC,Norway,"2026-09-25 00:42:25.026241","Cosy house with view, peace, and quietness.Great starterpoint for fishing trips in summertime, or watching the northern light in the winter. There are also some great hiking tours in the area!","Bø, Nordland, Norway",...,PUBLISHED,"Bestefarhaugen - The cozy house on the hill + Dome","2026-09-25 00:42:25.026241"
...,ROOMS,"United Kingdom","2026-09-25 00:42:25.034833","An ensuite double bedroom in a spacious, comfortable flat, conveniently located on a quiet square by Dalston Junction station.","London, United Kingdom",...,PUBLISHED,"Stylish ensuite double bedroom in trendy East London","2026-09-25 00:42:25.034833"
...,ROOMS,Morocco,"2026-09-25 00:42:25.041352","Villa AYA, is located at the foot of the Medina, and nestled in a corner of greenery, a haven of peace and calm.","Marrakesh, Morocco",...,PUBLISHED,"Villa AYA guest house - Suite with bathtub & balcony","2026-09-25 00:42:25.041352"
...,DOMES,India,"2026-09-25 00:42:25.046399","Experience the magic of the Himalayas at Panaash Eco World, a one-of-a-kind glamping retreat in Prini, Manali, offering an unparalleled escape into nature.","Manali, Himachal Pradesh, India",...,PUBLISHED,"Panaash Eco World | Earth Domes 3BR | by homeyhuts","2026-09-25 00:42:25.046399"
...,FARMS,India,"2026-09-25 00:42:25.050795","Forget your worries in this spacious and serene space.","Singarbil, Tripura, India",...,PUBLISHED,"Cozy 3bk farmhouse.","2026-09-25 00:42:25.050795"
...,FARMS,India,"2026-09-25 00:42:25.055548","We promise to give you an experience of a lifetime culminating in comfort and adventure. Located away from the towns of Kolli Hills, be prepared to be swept off your feet with everything nature has to offer.","Selurnadu, Tamil Nadu, India",...,PUBLISHED,"Sunnyside Upper Lake View","2026-09-25 00:42:25.055548"
...,TRENDING,India,"2026-09-25 00:42:25.058552","Admire the expansive skies and magnificent Himalayan Mountains as you unwind and take in the natural surroundings.","uttarakhand, India",...,PUBLISHED,"Binsar View Boutique Room l Himalayan Paradise","2026-09-25 00:42:25.058552"
...,FARMS,India,"2026-09-25 00:42:25.062572","Take a break from the rush of work and city life, stretching out to unwind and rejuvenate in the lap of nature.","Asan Bani, Jharkhand, India",...,PUBLISHED,"Dalmanchal - Our Khet! Farm Rooms","2026-09-25 00:42:25.062572"
...,ROOMS,India,"2026-09-25 00:42:25.066662","Dive into the authentic experience of ancient Varanasi from our spacious comfy & luxury rooms.","Varanasi, Uttar Pradesh, India",...,PUBLISHED,"Luxury Private Stay Near Temples & Ghats","2026-09-25 00:42:25.066662"
...,BEACH,Thailand,"2026-09-25 00:42:25.070661","Modern and spacious, room features sea views.","Pa Tong, Thailand",...,PUBLISHED,"Superior Deluxe Triple Room with Seaview","2026-09-25 00:42:25.070661"
...,BEACH,India,"2026-09-25 00:42:25.075299","This property is exactly beach front cottage.located on pristine shores of malpe beach in udupi.","Visakhapatnam, Andhra Pradesh, India",...,PUBLISHED,"3BHK Bay View Penthouse near Beach Road","2026-09-25 00:42:25.075299"
...,CASTLES,Romania,"2026-09-25 00:42:25.079322","The Lucia Villa Complex entices you to discover the true meaning of chic.","Sinaia, Romania",...,PUBLISHED,"Royal Boutique Hotel - VILA DOMINA","2026-09-25 00:42:25.079322"
...,MOUNTAINS,India,"2026-09-25 00:42:25.083493","Enchanted Forest Farm is an 18-acre forest farmstay, located in Parbing(Ranka), a scenic village near Gangtok, Sikkim. It is a quiet getaway for those offbeat travellers and wanderers.","Gangtok, Sikkim, India",...,PUBLISHED,"Rustic walnut cottage - waterfall & mountain view","2026-09-25 00:42:25.083493"
...,ICONIC_CITIES,India,"2026-09-25 00:42:25.088508","Enjoy an amazing time with Luxurious Bedrooms with an Exquisite Living Room, and a Luxurious Private Rooftop Pergola Lounge with Hot Tub & Bar.","New Delhi, India",...,PUBLISHED,"Onnyx Rooftop - Luxury Penthouse w/ Jacuzzi","2026-09-25 00:42:25.088508"
...,ICONIC_CITIES,India,"2026-09-25 00:42:25.093112","Welcome to this another beautiful and cozy property by Tulip Homes. It is situated on 16th floor & completely fresh apartment with garden patio which makes it unique in class. The place is perfect for relaxing and enjoying scenic view of modern architecture.","Gurugram, Haryana, India",...,PUBLISHED,"Highrise Heaven 16th Floor with Garden Patio 3","2026-09-25 00:42:25.093112"
...,ICONIC_CITIES,"South Korea","2026-09-25 00:42:25.099323","We provide a cozy and private time on the second floor of a detached house in front of the World Heritage site Jeongneung. High ceilings, abundant natural light, and sensual interiors that coexist with the 60s and modern sensibilities provide a cool and cozy experience.","Seongbuk-gu, South Korea",...,PUBLISHED,"[Dodo Hwa] Cozy single-family house next to Jeongneung","2026-09-25 00:42:25.099323"
...,ARCTIC,Norway,"2026-09-25 00:42:25.102897","Welcome to our charming and spacious rental ! The house is close to the E6, yet peaceful and rural.","Narvik, Norway",...,PUBLISHED,"No. 5, Ballangen","2026-09-25 00:42:25.102897"
...,ARCTIC,Norway,"2026-09-25 00:42:25.107519","Villa Kristina has a jacuzzi,high standard both inside and out, but most of all amazing views.","Rauma, Norway",...,PUBLISHED,"Villa Kristina / ÅNDALSNES","2026-09-25 00:42:25.107519"
...,DOMES,India,"2026-09-25 00:42:25.111518","Inspired by Himalyan berries, Kaafal cottages are a bunch of domes in the shape, colour & texture of the berry, Kaafal","Makku Math, Uttarakhand, India",...,PUBLISHED,"Kaafal - Himalyan Berry Shaped Bedrooms; Berry #2","2026-09-25 00:42:25.111518"
...,MOUNTAINS,India,"2026-09-25 00:42:25.117203","HillCrest is located on a hilltop in a quaint neighbourhood called Lumparing.","Shillong, Meghalaya, India",...,PUBLISHED,"HillCrest - Golden Horizon","2026-09-25 00:42:25.117203"
...,BEACH,India,"2026-09-25 00:42:25.125483","Discover the perfect blend of comfort and Middle Eastern charm in our fully furnished 3-bedroom apartment.","Kozhikode, Kerala, India",...,PUBLISHED,"3-BHK Penthouse with beach view","2026-09-25 00:42:25.125483"
...,MOUNTAINS,India,"2026-09-25 00:42:25.129525","Indulge in the best rural experience theme based homestay in the hills of Sabarvani with all the comfort you need. Enrich yourself with local authentic food.","Tamia, Madhya Pradesh, India",...,PUBLISHED,"Hill View Room Ac-Jungle Aashiyana","2026-09-25 00:42:25.129525"
...,BEACH,Maldives,"2026-09-25 00:42:25.134537","An modern over-water bungalow located in one of the most pristine and secluded corners of the Maldives.","Malé, Maldives",...,PUBLISHED,"Water Villa with Pool - 1 hour Seaplane from Male","2026-09-25 00:42:25.134537"
...,MOUNTAINS,Nepal,"2026-09-25 00:42:25.139199","We are sharing our space with you to pause, to connect with nature & connect with self & your loved ones. Every moment here is an invitation to slow down. The A-frame & the views will take your breath away!","Pokhara, Nepal",...,PUBLISHED,"Tranquil Villa w/ Mountain Views | 15min from City","2026-09-25 00:42:25.139199"
...,ICONIC_CITIES,Morocco,"2026-09-25 00:42:25.143823","Entire home in Marrakesh, Morocco","Marrakesh, Morocco",...,PUBLISHED,"Joli Riad: intimate and elegant","2026-09-25 00:42:25.143823"
...,CASTLES,Turkey,"2026-09-25 00:42:25.147834","Spend a pleasant time in this rare place, 3 parcels of land are in the best location of the peninsula. It has very nice mountain sea and pool view.","Kaş, Turkey",...,PUBLISHED,"Chateau Kas Peninsula","2026-09-25 00:42:25.147834"
...,BOATS,Thailand,"2026-09-25 00:42:25.151836","This unique 90ft Luxury traditional Thai-crafted wooden yacht holds 3 palatial double cabins below a spacious open plan teak- laden salon on the top deck","Mai Khao, Thailand",...,PUBLISHED,"Maha Bhetra","2026-09-25 00:42:25.151836"
...,FARMS,Sweden,"2026-09-25 00:42:25.158189","Peace and quiet, close to nature, and elves. For those who want a rural and peaceful stay.","Borgholm, Sweden",...,PUBLISHED,"Tranquil Öland stone barn","2026-09-25 00:42:25.158189"
...,ARCTIC,Finland,"2026-09-25 00:42:25.162693","Welcome to Ollero Eco Lodge - we're a family-owned environmentally friendly cottage retreat by the Ounasjoki river on the Arctic Circle.","Rovaniemi, Finland",...,PUBLISHED,"Ollero Eco Lodge (inc. a glass igloo)","2026-09-25 00:42:25.162693"
...,FARMS,Poland,"2026-09-25 00:42:25.168299","Welcome to 'Stodoła' our 100-year-old barn that was originally used on this farm to store hay.","Osiniak-Piotrowo, Poland",...,PUBLISHED,"Modern 100 Year Old Barn In The Heart Of Mazury","2026-09-25 00:42:25.168299"
...,ROOMS,India,"2026-09-25 00:42:25.172809","Newly Built 2BHK Near Patna Airport with Terrace","Patna, Bihar, India",...,PUBLISHED,"Peaceful Green-View Luxury 2 BHK","2026-09-25 00:42:25.172809"
...,ROOMS,India,"2026-09-25 00:42:25.176888","Welcome to your stylish and cozy retreat in the heart of Bhubaneswar! This fully air-conditioned 2-bedroom apartment provides a unique, peaceful atmosphere, ideal for families, solo travelers, or business professionals.","Bhubaneswar, Odisha, India",...,PUBLISHED,"Entire Home With 2 AC Bedrooms & Workstation","2026-09-25 00:42:25.176888"
...,ROOMS,India,"2026-09-25 00:42:25.180884","Welcome to The Heavenly Abode - your luxurious room in Electronic City, Bangalore, the perfect home away from home.","Bengaluru, Karnataka, India",...,PUBLISHED,"Bangalore's Best 1BHK in E-City","2026-09-25 00:42:25.180884"
...,TRENDING,India,"2026-09-25 00:42:25.186109","Relax with your friends and family at this private 1BHK apartment in offbeat peaceful location with amazing views of snowcapped Himalayas.","Manali, Himachal Pradesh, India",...,PUBLISHED,"Modern 1BHK Offbeat Peaceful Mountain Home","2026-09-25 00:42:25.186109"
...,MOUNTAINS,India,"2026-09-25 00:42:25.191154","Wake up to witness a beautiful sunrise from the room and watch the birds chirping away. Our home is surrounded by hills and on the border of the forest area.","Udaipur, Rajasthan, India",...,PUBLISHED,"Burj Baneria, Lake Pichola Facing Bedroom","2026-09-25 00:42:25.191154"
...,BOATS,Maldives,"2026-09-25 00:42:25.195751","Explore the incredible Maldives aboard our exclusive luxury yacht.Picture-perfect tropical islands, azure water, swaying palms, amazing marine life, perfect waves. Design your own adventure with us.","Malé, Maldives",...,PUBLISHED,"Magical Maldives - Awesome Private Luxury Yacht","2026-09-25 00:42:25.195751"
...,DOMES,India,"2026-09-25 00:42:25.200747","Discover a uniquely beautiful riverside glamping retreat with a 360-degree view.","Manali, Himachal Pradesh, India",...,PUBLISHED,"GlampView Luxurious Geodesic Glamp 2","2026-09-25 00:42:25.200747"
...,BEACH,India,"2026-09-25 00:42:25.203772"," Located 500 meters from Kursura submarine museum and the beach in a posh residential neighbourhood. Huge terrace and balconies to enjoy views of the bay, hills and the submarine.","Visakhapatnam, Andhra Pradesh, India",...,PUBLISHED,"3BHK Bay View Penthouse near Beach Road","2026-09-25 00:42:25.203772"
...,BEACH,India,"2026-09-25 00:42:25.209335","As the sun goes down enjoy the private terrace on a tropical balmy night.","Galle, Sri Lanka",...,PUBLISHED,"HABU Surf Stay 2","2026-09-25 00:42:25.209335"
...,ROOMS,Thailand,"2026-09-25 00:42:25.214378","The room is a Thai-contemporary inspired, overlooking one of the most sacred Trimit Temple and a balcony with little garden.","Bangkok, Thailand",...,PUBLISHED,"Ba hao Residence x SANTIPHAP ROOM","2026-09-25 00:42:25.214378"
...,TRENDING,India,"2026-09-25 00:42:25.219376","Welcome to your perfect getaway! This spacious and stylish 1-bedroom, 1-bathroom apartment offers stunning views of the valley, river, and surrounding landscapes.","North Goa, Goa, India",...,PUBLISHED,"Golden Nest","2026-09-25 00:42:25.219376"
...,ICONIC_CITIES,Thailand,"2026-09-25 00:42:25.223415","Entire home in Bangkok, Thailand","Bangkok, Thailand",...,PUBLISHED,"Garden in Bangkok","2026-09-25 00:42:25.223415"
...,ICONIC_CITIES,Australia,"2026-09-25 00:42:25.228089","Welcome to our stunning waterfront apartment with breathtaking views of Sydney Harbour! This magnificent space offers the perfect blend of modern comfort and unparalleled vistas, providing an unforgettable experience for your stay in the heart of Sydney.","Kirribilli, Australia",...,PUBLISHED,"Breathtaking Sydney Harbour View!","2026-09-25 00:42:25.228089"
...,MOUNTAINS,Japan,"2026-09-25 00:42:25.233542","The compact 3.5-room apartment is located in a quiet residential area. It is five minutes by foot to center of Altdorf.","Fujikawaguchiko, Japan",...,PUBLISHED,"Spacious House with Rooftop BBQ and Mt. Fuji Views","2026-09-25 00:42:25.233542"
...,BOATS,India,"2026-09-25 00:42:25.238619","Our boat is the first traditional rice boat built in Goa, originally styled by Malini Ramani, this residence has featured in leading style magazines.","Goa, India",...,PUBLISHED,"Houseboat Cruise on the backwaters","2026-09-25 00:42:25.238619"
...,ROOMS,India,"2026-09-25 00:42:25.242557","Welcome to our exquisite Greece-themed villa in Surat, a perfect blend of luxury and comfort.","Surat, Gujurat, India",...,PUBLISHED,"Greece Escape - New Heaven Gold - Villa In Surat","2026-09-25 00:42:25.242557"
...,TRENDING,"United Arab","2026-09-25 00:42:25.246421","Indulge in luxury at this 2-bedroom apartment in downtown Dubai, offering unrivaled views of the iconic Burj Khalifa and enchanting Dubai Dancing Fountain show.","Dubai, United Arab",...,PUBLISHED,"King 2 Bedroom With Burj Khalifa & Fountain View","2026-09-25 00:42:25.246421"
...,TRENDING,Germany,"2026-09-25 00:42:25.251424","Tig Micheál Bán is a lovingly renovated traditional Irish farmhouse with views of the picturesque Mealagh Valley and Kerry Mountains.","Willingen, Germany",...,PUBLISHED,"Woody Willingen - The wooden hut in beautiful nature","2026-09-25 00:42:25.251424"
...,CASTLES,Greece,"2026-09-25 00:42:25.256468","Charming cobble tower guesthouse only 1km from the beach. Immerse yourself in rare and stylish decor as you wander through time.","Mikri Mantineia, Greece",...,PUBLISHED,"Once Upon a Time - A Castle of Magical Sunsets","2026-09-25 00:42:25.256468"
...,CASTLES,India,"2026-09-25 00:42:25.262977","Castle Oodeypore is a heritage architecture building with modern, luxurious & spacious interiors. ","Udaipur, Rajasthan, India",...,PUBLISHED,"@ Castle Oodeypore - A Royal Homestay","2026-09-25 00:42:25.262977"
...,CASTLES,Italy,"2026-09-25 00:42:25.268156","An old castle-shaped villa, for those who don't stop believing in fairy tales.","Rapagnano, Italy",...,PUBLISHED,"Italian castle with pool near Fermo 10km from sea","2026-09-25 00:42:25.268156"
...,FARMS,Romania,"2026-09-25 00:42:25.272674","Our guesthouse is an old wooden barn transformed to a cozy guest house. Located in a silent Transilvanian village between endless mountains and forest.","Zăbala, Romania",...,PUBLISHED,"Wooden Barn Guesthouse","2026-09-25 00:42:25.272674"
...,BOATS,Thailand,"2026-09-25 00:42:25.277205","Boat in Chalong, Thailand","Chalong, Thailand",...,PUBLISHED,"Miss Coco Lagoon 421 Catamaran","2026-09-25 00:42:25.277205"
...,BOATS,Indonesia,"2026-09-25 00:42:25.282837","Mantamae is a perfect charter to for you and your family, friends group or loved one to explore the amazing and hidden islands of Indonesia Archipelago.","Komodo, Indonesia",...,PUBLISHED,"Mantamae Liveaboard Komodo","2026-09-25 00:42:25.282837"
...,ROOMS,India,"2026-09-25 00:42:25.287561","Welcome to the minimalist-style 2BHK suites located in Dreamcity, one of the peaceful locations in Amritsar.","Amritsar, Punjab, India",...,PUBLISHED,"Hazel : Minimalist Apartment","2026-09-25 00:42:25.287561"
...,ROOMS,Spain,"2026-09-25 00:42:25.293066","An ensuite double bedroom in a spacious, comfortable flat, conveniently located on a quiet square by Dalston Junction station.","Sant Josep de sa Talaia, Spain",...,PUBLISHED,"Lapo's room in Argentina","2026-09-25 00:42:25.293066"
...,CASTLES,Italy,"2026-09-25 00:42:25.298598","Luxurious residence in the historic Torre del '500 on the beach in Positano for a wonderful holiday full of unforgettable charm.","Positano, Italy",...,PUBLISHED,"Luxury home Torre Trasita in Positano ","2026-09-25 00:42:25.298598"
...,BOATS,Vietnam,"2026-09-25 00:42:25.304640","We were the first cruise company that organized this specific cruise through Lan Ha Bay, and we have the deepest knowledge and experience of cruising to all of the best features of this unforgettable cruise route!","Trân Châu, Vietnam",...,PUBLISHED,"Private traditional junk/ Halong - Lan Ha Bay","2026-09-25 00:42:25.304640"
...,FARMS,Australia,"2026-09-25 00:42:25.310315","Nature enthusiasts, cyclists, and hikers will adore The Barn! Nestled in York with stunning views of Mt. Bakewell, this renovated Quaker Barn offers meticulous detail. ","York, Australia",...,PUBLISHED,"The Barn York","2026-09-25 00:42:25.310315"
...,TRENDING,India,"2026-09-25 00:42:25.317021","Discover the perfect blend of comfort and convenience just minutes away from the iconic Taj Mahal.","Agra, Uttar Pradesh, India",...,PUBLISHED,"Best place to stay Near Tajmahal","2026-09-25 00:42:25.317021"
...,TRENDING,India,"2026-09-25 00:42:25.324514","Enjoy the elegance of a bygone era while staying in this gorgeous 250 years old haveli.","Jaipur, Rajasthan , India",...,PUBLISHED,"Padma -a Luxury Suite by Sankotra Haveli estd.1727","2026-09-25 00:42:25.324514"
...,CASTLES,India,"2026-09-25 00:42:25.331525","This magnificent, boutique lair is located in a one-of-a-kind Gothic-Revival castle and cottages - set amidst a lush macrocosm of apple and cherry orchards, and overlooking unrivalled panoramic vistas of the breathtaking Himalayan landscape.","Manali, Himachal Pradesh, India",...,PUBLISHED,"Run of the house","2026-09-25 00:42:25.331525"
...,DOMES,India,"2026-09-25 00:42:25.338261","Enjoy the lovely setting of this romantic spot in nature.Feel at home in two cozy domes nestled in an apple orchard, just 30 minutes from Shimla.","Cheog, Himachal Pradesh, India",...,PUBLISHED,"Two domes 30min from Shimla","2026-09-25 00:42:25.338261"
...,MOUNTAINS,India,"2026-09-25 00:42:25.342769","Your Home away from Home. Cleanliness assured. Enjoy the breathtaking view of Kohima's Majestic Hills.","Kohima, Nagaland, India",...,PUBLISHED,"Lichen homestay","2026-09-25 00:42:25.342769"
